name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Burlington, VT",2022-01-01T00:00:00,2.1,0,1.6,96.48,0,0,,0,0,,7.3,193,1012.6,50.6,0,0,,0,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-01T01:00:00,2.1,-0.8,2.1,99.89,0,0,,0,0,,9.9,167,1012,50.6,0.5,0,,0,,Partially cloudy,fog,"72622564776,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-01T02:00:00,0.6,0.6,0.6,100,0,0,,0,0,,0,0,1012,50.9,0,0,,0,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T03:00:00,1,-1.2,0.5,96.53,0,0,,0,0,,7.1,196,1011.6,97,1.9,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771"
"Burlington, VT",2022-01-01T04:00:00,0.6,-2.6,-0.1,95.43,0,0,,0,0,,9.9,177,1010.4,46.4,1.5,0,,0,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-01T05:00:00,1.1,-2.2,0.6,96.45,0,0,,0,0,,11.1,170,1010.1,27.7,15.8,0,,0,,Partially cloudy,partly-cloudy-night,"KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T06:00:00,1.6,-1.9,1.1,96.15,0,0,,0,0,,12.5,167,1009.1,99.5,15.4,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T07:00:00,3.2,0.4,1.6,89.24,0,0,,0,0,,10.8,167,1009.5,99.9,15.7,1,0,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T08:00:00,3.2,1.3,1.6,89.24,0,0,,0,0,,7.2,117,1008.2,100,15.6,2,0,0,,Overcast,cloudy,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T09:00:00,4.2,0.9,2.7,90.11,0,0,,7.58,7.58,,14.2,183,1007.5,100,15.5,32,0.1,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T10:00:00,4.8,1.7,3.2,89.37,0,0,,0.04,7.62,,14.1,194,1007.8,100,15.7,42,0.2,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T11:00:00,4.9,1.7,3.7,92.33,0,0,,0.04,7.66,,14.2,177,1007.6,100,15.9,47,0.2,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T12:00:00,5.5,3.9,4.2,91.44,0,0,,0.04,7.7,,7.3,196,1006.9,100,15.7,44,0.2,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T13:00:00,6.5,3.5,4.3,85.5,0,0,,0.04,7.74,,16,193,1006.3,100,15.6,71,0.3,1,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T14:00:00,6.5,4,4.9,89.23,0,0,,0.04,7.78,,12.5,193,1005.1,100,15.6,77,0.3,1,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T15:00:00,7,4.9,5.5,90.01,0,0,,0.04,7.82,,10.8,212,1005.4,100,15.6,34,0.1,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T16:00:00,6.6,5.1,5.5,93.1,0,0,,0.04,7.86,,7.6,185,1005.6,100,15.5,8,0,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-01T17:00:00,6.6,4.3,5.5,93.14,0.01,100,rain,0.04,7.9,,11,322,1006.6,100,13.6,1,0,0,,"Rain, Overcast",snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T18:00:00,4.3,2.5,4.3,99.75,0,0,,0.04,7.94,,7.4,321,1006.1,99.5,3,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T19:00:00,4.3,1.6,3.8,96.35,0,0,,0.04,7.98,,10.9,360,1006.1,100,1.2,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T20:00:00,3.2,-1.3,2.9,98.16,0.01,100,rain,0.04,8.02,,21,351,1006.6,99.5,3,0,,0,,"Rain, Overcast",snow,"72622564776,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-01T21:00:00,2.2,-2.2,1.7,96.53,0.01,100,rain,0.04,8.06,,18.1,360,1007.6,100,6,0,,0,,"Rain, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T22:00:00,1.7,-2.8,1.1,96.03,0,0,,0.04,8.1,,18.3,350,1007.1,100,6.2,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-01T23:00:00,1.7,-2.3,1.1,95.89,0,0,,0.04,8.14,,14.8,360,1006.6,100,5.2,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T00:00:00,1.2,-3.2,0.6,96.36,0.29,100,"rain,snow",0.04,8.18,,16.5,360,1006.5,100,5,0,,0,,"Snow, Rain, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T01:00:00,0.6,-4.2,0,95.24,0.01,100,"rain,snow",0.04,8.22,38.9,18.4,350,1006,100,10.9,0,,0,,"Snow, Rain, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T02:00:00,-0.7,-5.8,-1.7,92.94,0.01,100,"rain,snow",0.04,8.26,,18.3,351,1006.5,100,15.6,0,,0,,"Snow, Rain, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T03:00:00,-1.1,-6.7,-2.1,92.92,0.63,100,"rain,snow",0.04,8.3,,20.3,351,1006.6,100,3,0,,0,,"Snow, Rain, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T04:00:00,-2.1,-8.2,-3.3,91.88,0.88,100,snow,0.04,8.34,,22.2,350,1006.4,100,2,0,,0,,"Snow, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T05:00:00,-2.8,-9.3,-4.4,88.93,0.48,100,snow,0.04,8.38,,24,351,1006.4,100,5.2,0,,0,,"Snow, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T06:00:00,-3.3,-8.8,-5,87.98,0,0,,0.04,8.42,,16.6,351,1006.1,100,3.1,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T07:00:00,-3.8,-10.1,-6.1,84.26,0,0,,0.04,8.46,,20.2,360,1006.3,100,5.2,2.1,0,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T08:00:00,-5,-11.8,-6.6,88.27,0,0,,0.16,8.63,,22.1,360,1006.5,100,5.9,1,0,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T09:00:00,-5,-12.2,-7.1,85.08,0,0,,0,8.17,,24.1,360,1007.7,50.9,1.1,10,0,0,,Partially cloudy,partly-cloudy-day,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T10:00:00,-6.2,-13.6,-7.8,88.11,0.39,100,snow,0.09,8.26,,24,15,1008.7,50.1,1,18,0.1,0,,"Snow, Partially cloudy",snow,"72622564776,ESXV1,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-02T11:00:00,-6.7,-13.7,-9.3,81.27,0.3,100,snow,0.09,8.34,,20.5,1,1009,99.5,4.9,42,0.2,0,,"Snow, Overcast",snow,"72622564776,ESXV1,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-02T12:00:00,-7.1,-13.5,-10,80.29,0,0,,0.09,8.43,,16.6,20,1008.3,50.9,2,35,0.1,0,,Partially cloudy,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T13:00:00,-7.1,-13.6,-10,80.28,0.15,100,snow,0.09,8.52,,16.7,20,1008.7,98.4,2,38,0.1,0,,"Snow, Overcast",snow,"72622564776,ESXV1,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-02T14:00:00,-6.6,-13.1,-10,77.23,0,0,,0.09,8.6,,17.5,10,1008.9,100,3.2,41,0.1,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,72611454771,72617014742"
"Burlington, VT",2022-01-02T15:00:00,-7.1,-13.6,-10,80.11,0,0,,0.09,8.69,,16.7,10,1010.5,100,13.1,17,0.1,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T16:00:00,-7.1,-14,-10,80.11,0,0,,0.09,8.77,,18.7,29,1011.9,100,8.1,6,0,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T17:00:00,-7.2,-13.6,-10.6,76.24,0.14,100,snow,0.09,8.86,,16.5,39,1013.1,100,10,0,,0,,"Snow, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T18:00:00,-7.2,-12.8,-10.6,76.24,0.14,100,snow,0.09,8.94,,13.2,29,1015,100,8.2,0,,0,,"Snow, Overcast",snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T19:00:00,-7.2,-11.7,-10.1,79.95,0,0,,0.09,9.03,,9.5,49,1016.3,100,10.2,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T20:00:00,-7.8,-12.3,-10.7,79.89,0,0,,0.09,9.12,,9.1,49,1016.9,89.3,16,0,,0,,Partially cloudy,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T21:00:00,-7.2,-13.2,-11.7,70.69,0,0,,0.09,9.2,37.1,14.4,29,1018,96.9,15.9,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T22:00:00,-8.9,-15.2,-13.3,70.27,0,0,,0.09,9.29,35.3,14.4,19,1018.8,86.3,15.9,0,,0,,Partially cloudy,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-02T23:00:00,-8.4,-14.7,-13.4,67.3,0,0,,0.09,9.37,,14.5,340,1019.8,96.1,16,0,,0,,Overcast,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-03T00:00:00,-10.1,-15.7,-14.4,70.42,0,0,,0.09,9.46,,11.1,27,1020.7,47.9,16,0,,0,,Partially cloudy,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-03T01:00:00,-11.2,-17,-15.1,73.27,0,0,,0.09,9.55,,11,29,1021,0,16,0,,0,,Clear,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-03T02:00:00,-11.7,-18.7,-15.7,72.16,0,0,,0.09,9.63,,14.7,30,1022,0,16,0,,0,,Clear,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-03T03:00:00,-12.3,-18.3,-16.7,69.42,0,0,,0.09,9.72,,11.2,17,1023.2,0,16,0,,0,,Clear,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2022-01-03T04:00:00,-13,-18.6,-17.3,69.85,0,0,,0.09,9.8,,9.5,47,1024.4,0,16,0,,0,,Clear,snow,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
