Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
150.00	1.0000	6.9211	0.14448	100.42	115.06	0.95376	0.15246	0.25816	156.14	5.0458	1.2897e-05	0.0046753	vapor
151.00	1.0000	6.8731	0.14550	100.57	115.32	0.95547	0.15235	0.25791	156.69	4.9778	1.2984e-05	0.0047111	vapor
152.00	1.0000	6.8257	0.14651	100.73	115.57	0.95717	0.15224	0.25767	157.24	4.9114	1.3072e-05	0.0047468	vapor
153.00	1.0000	6.7790	0.14751	100.88	115.83	0.95886	0.15214	0.25743	157.79	4.8466	1.3160e-05	0.0047824	vapor
154.00	1.0000	6.7330	0.14852	101.04	116.09	0.96054	0.15204	0.25720	158.33	4.7833	1.3247e-05	0.0048180	vapor
155.00	1.0000	6.6876	0.14953	101.19	116.35	0.96220	0.15195	0.25698	158.87	4.7214	1.3335e-05	0.0048535	vapor
156.00	1.0000	6.6428	0.15054	101.35	116.60	0.96385	0.15185	0.25677	159.41	4.6609	1.3423e-05	0.0048889	vapor
157.00	1.0000	6.5987	0.15154	101.50	116.86	0.96550	0.15177	0.25657	159.95	4.6018	1.3510e-05	0.0049243	vapor
158.00	1.0000	6.5552	0.15255	101.66	117.12	0.96712	0.15168	0.25637	160.48	4.5439	1.3598e-05	0.0049596	vapor
159.00	1.0000	6.5123	0.15356	101.81	117.37	0.96874	0.15160	0.25618	161.02	4.4874	1.3685e-05	0.0049948	vapor
160.00	1.0000	6.4699	0.15456	101.97	117.63	0.97035	0.15152	0.25599	161.55	4.4321	1.3773e-05	0.0050300	vapor
161.00	1.0000	6.4281	0.15557	102.12	117.88	0.97194	0.15144	0.25581	162.08	4.3779	1.3860e-05	0.0050651	vapor
162.00	1.0000	6.3869	0.15657	102.28	118.14	0.97352	0.15137	0.25564	162.60	4.3250	1.3948e-05	0.0051001	vapor
163.00	1.0000	6.3462	0.15757	102.43	118.40	0.97510	0.15130	0.25547	163.13	4.2731	1.4035e-05	0.0051350	vapor
164.00	1.0000	6.3061	0.15858	102.58	118.65	0.97666	0.15123	0.25531	163.65	4.2224	1.4123e-05	0.0051699	vapor
165.00	1.0000	6.2664	0.15958	102.74	118.91	0.97821	0.15117	0.25515	164.17	4.1727	1.4210e-05	0.0052047	vapor
166.00	1.0000	6.2273	0.16058	102.89	119.16	0.97975	0.15110	0.25500	164.69	4.1240	1.4298e-05	0.0052395	vapor
167.00	1.0000	6.1887	0.16158	103.04	119.42	0.98128	0.15104	0.25485	165.21	4.0763	1.4385e-05	0.0052741	vapor
168.00	1.0000	6.1506	0.16259	103.20	119.67	0.98280	0.15098	0.25471	165.72	4.0296	1.4472e-05	0.0053087	vapor
169.00	1.0000	6.1130	0.16359	103.35	119.93	0.98431	0.15093	0.25457	166.23	3.9838	1.4560e-05	0.0053432	vapor
