Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
100.00	1.0000	4.9819	0.20073	30.332	50.671	3.2962	0.32070	0.54740	184.14	4.5685	8.1997e-06	0.0063539	vapor
101.00	1.0000	4.9292	0.20287	30.662	51.218	3.3016	0.32034	0.54645	185.12	4.4817	8.2828e-06	0.0064207	vapor
102.00	1.0000	4.8778	0.20501	30.991	51.764	3.3070	0.32000	0.54555	186.11	4.3977	8.3659e-06	0.0064875	vapor
103.00	1.0000	4.8274	0.20715	31.320	52.309	3.3123	0.31967	0.54470	187.08	4.3164	8.4488e-06	0.0065541	vapor
104.00	1.0000	4.7782	0.20928	31.648	52.853	3.3176	0.31937	0.54388	188.05	4.2378	8.5316e-06	0.0066208	vapor
105.00	1.0000	4.7300	0.21142	31.975	53.397	3.3228	0.31908	0.54311	189.01	4.1617	8.6143e-06	0.0066873	vapor
106.00	1.0000	4.6828	0.21355	32.302	53.940	3.3280	0.31881	0.54237	189.97	4.0879	8.6969e-06	0.0067537	vapor
107.00	1.0000	4.6366	0.21568	32.628	54.482	3.3330	0.31855	0.54167	190.92	4.0164	8.7794e-06	0.0068200	vapor
108.00	1.0000	4.5913	0.21780	32.954	55.023	3.3381	0.31831	0.54100	191.87	3.9471	8.8618e-06	0.0068862	vapor
109.00	1.0000	4.5470	0.21993	33.280	55.564	3.3431	0.31808	0.54036	192.80	3.8798	8.9441e-06	0.0069522	vapor
110.00	1.0000	4.5035	0.22205	33.605	56.104	3.3480	0.31786	0.53975	193.74	3.8145	9.0263e-06	0.0070181	vapor
111.00	1.0000	4.4609	0.22417	33.929	56.643	3.3529	0.31765	0.53917	194.66	3.7511	9.1083e-06	0.0070839	vapor
112.00	1.0000	4.4192	0.22629	34.254	57.182	3.3577	0.31745	0.53861	195.59	3.6896	9.1903e-06	0.0071495	vapor
113.00	1.0000	4.3782	0.22840	34.578	57.720	3.3625	0.31726	0.53808	196.50	3.6298	9.2721e-06	0.0072150	vapor
114.00	1.0000	4.3380	0.23052	34.901	58.258	3.3672	0.31708	0.53757	197.41	3.5716	9.3538e-06	0.0072804	vapor
115.00	1.0000	4.2986	0.23263	35.224	58.796	3.3719	0.31691	0.53708	198.32	3.5151	9.4354e-06	0.0073456	vapor
116.00	1.0000	4.2600	0.23474	35.547	59.332	3.3766	0.31675	0.53661	199.22	3.4601	9.5169e-06	0.0074107	vapor
117.00	1.0000	4.2220	0.23685	35.870	59.869	3.3812	0.31660	0.53616	200.12	3.4065	9.5983e-06	0.0074756	vapor
118.00	1.0000	4.1847	0.23896	36.192	60.405	3.3857	0.31645	0.53573	201.01	3.3544	9.6796e-06	0.0075404	vapor
119.00	1.0000	4.1481	0.24107	36.514	60.940	3.3903	0.31631	0.53532	201.90	3.3037	9.7607e-06	0.0076050	vapor
120.00	1.0000	4.1122	0.24318	36.835	61.475	3.3947	0.31617	0.53492	202.78	3.2543	9.8417e-06	0.0076695	vapor
121.00	1.0000	4.0769	0.24528	37.157	62.010	3.3992	0.31604	0.53454	203.66	3.2061	9.9227e-06	0.0077339	vapor
122.00	1.0000	4.0422	0.24739	37.478	62.545	3.4036	0.31592	0.53417	204.53	3.1592	1.0003e-05	0.0077981	vapor
123.00	1.0000	4.0082	0.24949	37.799	63.079	3.4079	0.31580	0.53382	205.40	3.1134	1.0084e-05	0.0078622	vapor
124.00	1.0000	3.9747	0.25159	38.119	63.612	3.4122	0.31569	0.53348	206.27	3.0688	1.0165e-05	0.0079262	vapor
125.00	1.0000	3.9418	0.25369	38.440	64.145	3.4165	0.31558	0.53315	207.13	3.0252	1.0245e-05	0.0079900	vapor
126.00	1.0000	3.9094	0.25579	38.760	64.678	3.4208	0.31548	0.53283	207.99	2.9827	1.0326e-05	0.0080537	vapor
127.00	1.0000	3.8776	0.25789	39.080	65.211	3.4250	0.31538	0.53253	208.84	2.9412	1.0406e-05	0.0081172	vapor
128.00	1.0000	3.8463	0.25999	39.400	65.744	3.4292	0.31528	0.53224	209.69	2.9007	1.0486e-05	0.0081806	vapor
129.00	1.0000	3.8155	0.26209	39.720	66.276	3.4333	0.31519	0.53195	210.54	2.8612	1.0566e-05	0.0082439	vapor
130.00	1.0000	3.7853	0.26418	40.039	66.807	3.4374	0.31510	0.53168	211.38	2.8225	1.0646e-05	0.0083071	vapor
131.00	1.0000	3.7555	0.26628	40.358	67.339	3.4415	0.31502	0.53142	212.22	2.7848	1.0725e-05	0.0083701	vapor
132.00	1.0000	3.7262	0.26837	40.677	67.870	3.4455	0.31494	0.53116	213.05	2.7478	1.0805e-05	0.0084330	vapor
133.00	1.0000	3.6973	0.27047	40.996	68.401	3.4495	0.31486	0.53091	213.88	2.7118	1.0885e-05	0.0084958	vapor
134.00	1.0000	3.6689	0.27256	41.315	68.932	3.4535	0.31478	0.53068	214.71	2.6765	1.0964e-05	0.0085585	vapor
135.00	1.0000	3.6410	0.27465	41.634	69.463	3.4575	0.31471	0.53045	215.53	2.6420	1.1043e-05	0.0086210	vapor
