Temperature (K),Pressure (atm),Density (kg/m3),Cp (J/g*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
100.00,1.00,4.9819,0.5474,8.1997E-06,0.0063539
101.00,1.00,4.9292,0.54645,8.2828E-06,0.0064207
102.00,1.00,4.8778,0.54555,8.3659E-06,0.0064875
103.00,1.00,4.8274,0.5447,8.4488E-06,0.0065541
104.00,1.00,4.7782,0.54388,8.5316E-06,0.0066208
105.00,1.00,4.73,0.54311,8.6143E-06,0.0066873
106.00,1.00,4.6828,0.54237,8.6969E-06,0.0067537
107.00,1.00,4.6366,0.54167,8.7794E-06,0.00682
108.00,1.00,4.5913,0.541,8.8618E-06,0.0068862
109.00,1.00,4.547,0.54036,8.9441E-06,0.0069522
110.00,1.00,4.5035,0.53975,9.0263E-06,0.0070181
111.00,1.00,4.4609,0.53917,9.1083E-06,0.0070839
112.00,1.00,4.4192,0.53861,9.1903E-06,0.0071495
113.00,1.00,4.3782,0.53808,9.2721E-06,0.007215
114.00,1.00,4.338,0.53757,9.3538E-06,0.0072804
115.00,1.00,4.2986,0.53708,9.4354E-06,0.0073456
116.00,1.00,4.26,0.53661,9.5169E-06,0.0074107
117.00,1.00,4.222,0.53616,9.5983E-06,0.0074756
118.00,1.00,4.1847,0.53573,9.6796E-06,0.0075404
119.00,1.00,4.1481,0.53532,9.7607E-06,0.007605
120.00,1.00,4.1122,0.53492,9.8417E-06,0.0076695
121.00,1.00,4.0769,0.53454,9.9227E-06,0.0077339
122.00,1.00,4.0422,0.53417,1.0003E-05,0.0077981
123.00,1.00,4.0082,0.53382,1.0084E-05,0.0078622
124.00,1.00,3.9747,0.53348,1.0165E-05,0.0079262
125.00,1.00,3.9418,0.53315,1.0245E-05,0.00799
126.00,1.00,3.9094,0.53283,1.0326E-05,0.0080537
127.00,1.00,3.8776,0.53253,1.0406E-05,0.0081172
128.00,1.00,3.8463,0.53224,1.0486E-05,0.0081806
129.00,1.00,3.8155,0.53195,1.0566E-05,0.0082439
130.00,1.00,3.7853,0.53168,1.0646E-05,0.0083071
131.00,1.00,3.7555,0.53142,1.0725E-05,0.0083701
132.00,1.00,3.7262,0.53116,1.0805E-05,0.008433
133.00,1.00,3.6973,0.53091,1.0885E-05,0.0084958
134.00,1.00,3.6689,0.53068,1.0964E-05,0.0085585
135.00,1.00,3.641,0.53045,1.1043E-05,0.008621
136.00,1.00,3.6135,0.53022,1.1122E-05,0.0086835
137.00,1.00,3.5864,0.53001,1.1202E-05,0.0087458
138.00,1.00,3.5597,0.5298,1.128E-05,0.008808
139.00,1.00,3.5334,0.5296,1.1359E-05,0.00887
140.00,1.00,3.5076,0.5294,1.1438E-05,0.008932
141.00,1.00,3.4821,0.52921,1.1517E-05,0.0089938
142.00,1.00,3.457,0.52903,1.1595E-05,0.0090556
