Temperature (K),Pressure (MPA),Density (kg/m^3),Cp (J/g.K),viscosity (Pa.s),Thermal conductivity (W/m.K)
274.00,0.10132,999.89,4.2166,0.0017398,0.56269
275.00,0.10132,999.94,4.2135,0.0016818,0.56459
276.00,0.10132,999.96,4.2106,0.0016269,0.56649
277.00,0.10132,999.97,4.2079,0.0015748,0.56839
278.00,0.10132,999.97,4.2054,0.0015253,0.57029
279.00,0.10132,999.95,4.2031,0.0014783,0.57219
280.00,0.10132,999.91,4.2009,0.0014335,0.57409
281.00,0.10132,999.86,4.1990,0.0013909,0.57598
282.00,0.10132,999.79,4.1971,0.0013503,0.57788
283.00,0.10132,999.72,4.1954,0.0013115,0.57976
284.00,0.10132,999.62,4.1938,0.0012745,0.58165
285.00,0.10132,999.52,4.1924,0.0012392,0.58352
286.00,0.10132,999.40,4.1910,0.0012054,0.58539
287.00,0.10132,999.27,4.1898,0.0011730,0.58725
288.00,0.10132,999.13,4.1886,0.0011421,0.58910
289.00,0.10132,998.97,4.1876,0.0011124,0.59094
290.00,0.10132,998.80,4.1866,0.0010840,0.59278
291.00,0.10132,998.63,4.1857,0.0010567,0.59459
292.00,0.10132,998.44,4.1849,0.0010305,0.59640
293.00,0.10132,998.24,4.1842,0.0010053,0.59819
294.00,0.10132,998.03,4.1835,0.00098110,0.59997
295.00,0.10132,997.81,4.1829,0.00095784,0.60174
296.00,0.10132,997.58,4.1823,0.00093545,0.60349
297.00,0.10132,997.34,4.1818,0.00091389,0.60522
298.00,0.10132,997.09,4.1814,0.00089313,0.60694
299.00,0.10132,996.83,4.1810,0.00087312,0.60864
300.00,0.10132,996.56,4.1806,0.00085383,0.61032
301.00,0.10132,996.28,4.1803,0.00083521,0.61199
302.00,0.10132,995.99,4.1801,0.00081724,0.61363
303.00,0.10132,995.69,4.1798,0.00079990,0.61526
304.00,0.10132,995.39,4.1797,0.00078314,0.61687
305.00,0.10132,995.08,4.1795,0.00076694,0.61846
