Date,Outdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Event Rain,Daily Rain,Weekly Rain,Monthly Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation,Absolute Pressure
2020-06-30T23:55:00-04:00,63.3,63.3,63,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T23:50:00-04:00,63.1,63.1,62.8,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T23:45:00-04:00,63.1,63.1,62.8,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T23:40:00-04:00,63.3,63.3,63,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T23:35:00-04:00,63.3,63.3,63,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T23:30:00-04:00,63.5,63.5,63.2,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T23:25:00-04:00,63.5,63.5,63.2,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T23:20:00-04:00,63.7,63.7,63.4,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T23:15:00-04:00,63.7,63.7,63.4,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T23:10:00-04:00,63.9,63.9,63.6,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T23:05:00-04:00,64,64,63.7,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T23:00:00-04:00,64.2,64.2,63.9,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T22:55:00-04:00,64.4,64.4,63.8,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.49
2020-06-30T22:50:00-04:00,64.4,64.4,63.8,1.1,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.49
2020-06-30T22:45:00-04:00,64.4,64.4,63.8,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.48
2020-06-30T22:40:00-04:00,64.2,64.2,63.6,0.2,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.48
2020-06-30T22:35:00-04:00,64.4,64.4,63.8,0.4,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.48
2020-06-30T22:30:00-04:00,64.2,64.2,63.6,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.49
2020-06-30T22:25:00-04:00,64.2,64.2,63.6,0.2,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.03,98,0,0,29.49
2020-06-30T22:20:00-04:00,64,64,63.7,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.03,99,0,0,29.5
2020-06-30T22:15:00-04:00,64.2,64.2,63.9,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.04,99,0,0,29.5
2020-06-30T22:10:00-04:00,64.2,64.2,63.9,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T22:05:00-04:00,64,64,63.7,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T22:00:00-04:00,64,64,63.7,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T21:55:00-04:00,64,64,63.7,0.4,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T21:50:00-04:00,64,64,63.7,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T21:45:00-04:00,64,64,63.7,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T21:40:00-04:00,64.2,64.2,63.9,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.49
2020-06-30T21:35:00-04:00,64.4,64.4,64.1,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T21:30:00-04:00,64.4,64.4,64.1,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,99,0,0,29.48
2020-06-30T21:25:00-04:00,64.4,64.4,63.8,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.48
2020-06-30T21:20:00-04:00,64.4,64.4,63.8,0,0,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.02,98,0,0,29.49
2020-06-30T21:15:00-04:00,64.6,64.6,64,0.7,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,98,0,0,29.48
2020-06-30T21:10:00-04:00,64.6,64.6,64,0.7,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,98,0,0,29.48
2020-06-30T21:05:00-04:00,64.8,64.8,64.5,0.2,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T21:00:00-04:00,64.8,64.8,64.5,0.2,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T20:55:00-04:00,64.9,64.9,64.6,0.9,1.1,12.5,70,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T20:50:00-04:00,65.1,65.1,64.8,0.2,1.1,12.5,53,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T20:45:00-04:00,65.3,65.3,65,0.2,1.1,12.5,53,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0,29.48
2020-06-30T20:40:00-04:00,65.3,65.3,65,0.2,1.1,12.5,53,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,0.8,29.47
2020-06-30T20:35:00-04:00,65.5,65.5,65.2,0.4,1.1,12.5,53,0,1.59,1.2,1.62,2.3,5.51,30.01,99,0,3.4,29.47
