Temperature (K),Pressure (atm),Density (kg/m3),Cp (J/g*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
150,1,6.9211,0.25816,1.2897E-05,0.0046753
151,1,6.8731,0.25791,1.2984E-05,0.0047111
152,1,6.8257,0.25767,1.3072E-05,0.0047468
153,1,6.779,0.25743,1.316E-05,0.0047824
154,1,6.733,0.2572,1.3247E-05,0.004818
155,1,6.6876,0.25698,1.3335E-05,0.0048535
156,1,6.6428,0.25677,1.3423E-05,0.0048889
157,1,6.5987,0.25657,1.351E-05,0.0049243
158,1,6.5552,0.25637,1.3598E-05,0.0049596
159,1,6.5123,0.25618,1.3685E-05,0.0049948
160,1,6.4699,0.25599,1.3773E-05,0.00503
161,1,6.4281,0.25581,1.386E-05,0.0050651
162,1,6.3869,0.25564,1.3948E-05,0.0051001
163,1,6.3462,0.25547,1.4035E-05,0.005135
164,1,6.3061,0.25531,1.4123E-05,0.0051699
165,1,6.2664,0.25515,1.421E-05,0.0052047
166,1,6.2273,0.255,1.4298E-05,0.0052395
167,1,6.1887,0.25485,1.4385E-05,0.0052741
168,1,6.1506,0.25471,1.4472E-05,0.0053087
169,1,6.113,0.25457,1.456E-05,0.0053432
170,1,6.0758,0.25443,1.4647E-05,0.0053777
171,1,6.0391,0.2543,1.4734E-05,0.0054121
172,1,6.0028,0.25418,1.4821E-05,0.0054464
173,1,5.967,0.25405,1.4909E-05,0.0054807
174,1,5.9317,0.25393,1.4996E-05,0.0055149
175,1,5.8967,0.25382,1.5083E-05,0.005549
176,1,5.8622,0.2537,1.517E-05,0.0055831
177,1,5.8281,0.25359,1.5257E-05,0.0056171
178,1,5.7944,0.25349,1.5344E-05,0.0056511
179,1,5.7611,0.25338,1.543E-05,0.0056849
180,1,5.7282,0.25328,1.5517E-05,0.0057188
181,1,5.6957,0.25318,1.5604E-05,0.0057525
182,1,5.6635,0.25309,1.5691E-05,0.0057862
183,1,5.6317,0.25299,1.5777E-05,0.0058199
184,1,5.6003,0.2529,1.5864E-05,0.0058534
185,1,5.5693,0.25282,1.595E-05,0.0058869
186,1,5.5385,0.25273,1.6037E-05,0.0059204
187,1,5.5082,0.25265,1.6123E-05,0.0059538
188,1,5.4782,0.25256,1.6209E-05,0.0059872
189,1,5.4485,0.25249,1.6296E-05,0.0060204
190,1,5.4191,0.25241,1.6382E-05,0.0060537
191,1,5.39,0.25233,1.6468E-05,0.0060868
192,1,5.3613,0.25226,1.6554E-05,0.00612
193,1,5.3329,0.25219,1.664E-05,0.006153
194,1,5.3048,0.25212,1.6726E-05,0.006186
195,1,5.277,0.25205,1.6811E-05,0.006219
196,1,5.2495,0.25198,1.6897E-05,0.0062518
197,1,5.2222,0.25192,1.6983E-05,0.0062847
198,1,5.1953,0.25186,1.7068E-05,0.0063175
199,1,5.1686,0.25179,1.7154E-05,0.0063502
200,1,5.1423,0.25173,1.7239E-05,0.0063829
201,1,5.1161,0.25168,1.7324E-05,0.0064155
202,1,5.0903,0.25162,1.741E-05,0.0064481
203,1,5.0647,0.25156,1.7495E-05,0.0064806
204,1,5.0394,0.25151,1.758E-05,0.006513
205,1,5.0144,0.25145,1.7665E-05,0.0065454
206,1,4.9895,0.2514,1.775E-05,0.0065778
207,1,4.965,0.25135,1.7834E-05,0.0066101
208,1,4.9407,0.2513,1.7919E-05,0.0066424
209,1,4.9166,0.25125,1.8004E-05,0.0066746
210,1,4.8928,0.2512,1.8088E-05,0.0067067
211,1,4.8692,0.25116,1.8173E-05,0.0067388
212,1,4.8458,0.25111,1.8257E-05,0.0067708
213,1,4.8226,0.25107,1.8341E-05,0.0068028
214,1,4.7997,0.25102,1.8425E-05,0.0068348
215,1,4.777,0.25098,1.8509E-05,0.0068667
216,1,4.7545,0.25094,1.8593E-05,0.0068985
217,1,4.7323,0.2509,1.8677E-05,0.0069303
218,1,4.7102,0.25086,1.8761E-05,0.006962
219,1,4.6883,0.25082,1.8845E-05,0.0069937
220,1,4.6667,0.25078,1.8928E-05,0.0070254
221,1,4.6453,0.25074,1.9012E-05,0.007057
222,1,4.624,0.25071,1.9095E-05,0.0070885
223,1,4.603,0.25067,1.9178E-05,0.00712
224,1,4.5821,0.25063,1.9262E-05,0.0071514
225,1,4.5614,0.2506,1.9345E-05,0.0071828
226,1,4.5409,0.25057,1.9428E-05,0.0072142
227,1,4.5206,0.25053,1.951E-05,0.0072455
228,1,4.5005,0.2505,1.9593E-05,0.0072767
229,1,4.4806,0.25047,1.9676E-05,0.0073079
230,1,4.4608,0.25044,1.9758E-05,0.0073391
231,1,4.4413,0.25041,1.9841E-05,0.0073702
232,1,4.4219,0.25038,1.9923E-05,0.0074012
233,1,4.4026,0.25035,2.0005E-05,0.0074322
234,1,4.3836,0.25032,2.0088E-05,0.0074632
235,1,4.3647,0.25029,2.017E-05,0.0074941
236,1,4.3459,0.25026,2.0252E-05,0.007525
237,1,4.3274,0.25023,2.0333E-05,0.0075558
238,1,4.3089,0.25021,2.0415E-05,0.0075865
239,1,4.2907,0.25018,2.0497E-05,0.0076173
240,1,4.2726,0.25015,2.0578E-05,0.0076479
241,1,4.2546,0.25013,2.066E-05,0.0076785
242,1,4.2368,0.2501,2.0741E-05,0.0077091
243,1,4.2192,0.25008,2.0822E-05,0.0077397
244,1,4.2017,0.25006,2.0903E-05,0.0077701
245,1,4.1843,0.25003,2.0984E-05,0.0078006
246,1,4.1671,0.25001,2.1065E-05,0.007831
247,1,4.1501,0.24999,2.1146E-05,0.0078613
248,1,4.1331,0.24996,2.1227E-05,0.0078916
249,1,4.1164,0.24994,2.1307E-05,0.0079218
250,1,4.0997,0.24992,2.1388E-05,0.007952
251,1,4.0832,0.2499,2.1468E-05,0.0079822
252,1,4.0668,0.24988,2.1548E-05,0.0080123
253,1,4.0506,0.24986,2.1628E-05,0.0080424
254,1,4.0345,0.24984,2.1708E-05,0.0080724
255,1,4.0185,0.24982,2.1788E-05,0.0081024
256,1,4.0026,0.2498,2.1868E-05,0.0081323
257,1,3.9869,0.24978,2.1948E-05,0.0081622
258,1,3.9713,0.24976,2.2027E-05,0.008192
259,1,3.9558,0.24974,2.2107E-05,0.0082218
260,1,3.9404,0.24972,2.2186E-05,0.0082516
261,1,3.9252,0.24971,2.2265E-05,0.0082813
262,1,3.91,0.24969,2.2344E-05,0.0083109
263,1,3.895,0.24967,2.2423E-05,0.0083405
264,1,3.8801,0.24965,2.2502E-05,0.0083701
265,1,3.8653,0.24964,2.2581E-05,0.0083996
266,1,3.8507,0.24962,2.266E-05,0.0084291
267,1,3.8361,0.2496,2.2739E-05,0.0084585
268,1,3.8217,0.24959,2.2817E-05,0.0084879
269,1,3.8073,0.24957,2.2895E-05,0.0085173
270,1,3.7931,0.24956,2.2974E-05,0.0085466
271,1,3.779,0.24954,2.3052E-05,0.0085758
272,1,3.765,0.24953,2.313E-05,0.008605
273,1,3.751,0.24951,2.3208E-05,0.0086342
274,1,3.7372,0.2495,2.3286E-05,0.0086633
275,1,3.7235,0.24948,2.3364E-05,0.0086924
276,1,3.7099,0.24947,2.3441E-05,0.0087214
277,1,3.6964,0.24946,2.3519E-05,0.0087504
278,1,3.683,0.24944,2.3596E-05,0.0087794
279,1,3.6697,0.24943,2.3673E-05,0.0088083
280,1,3.6565,0.24941,2.3751E-05,0.0088372
281,1,3.6434,0.2494,2.3828E-05,0.008866
282,1,3.6303,0.24939,2.3905E-05,0.0088948
283,1,3.6174,0.24938,2.3982E-05,0.0089235
284,1,3.6046,0.24936,2.4058E-05,0.0089522
285,1,3.5918,0.24935,2.4135E-05,0.0089809
286,1,3.5792,0.24934,2.4212E-05,0.0090095
287,1,3.5666,0.24933,2.4288E-05,0.0090381
288,1,3.5541,0.24932,2.4365E-05,0.0090666
289,1,3.5417,0.2493,2.4441E-05,0.0090951
290,1,3.5294,0.24929,2.4517E-05,0.0091235
291,1,3.5172,0.24928,2.4593E-05,0.009152
292,1,3.5051,0.24927,2.4669E-05,0.0091803
293,1,3.493,0.24926,2.4745E-05,0.0092086
294,1,3.4811,0.24925,2.482E-05,0.0092369
295,1,3.4692,0.24924,2.4896E-05,0.0092652
296,1,3.4574,0.24923,2.4972E-05,0.0092934
297,1,3.4457,0.24922,2.5047E-05,0.0093215
298,1,3.434,0.24921,2.5122E-05,0.0093497
299,1,3.4225,0.2492,2.5198E-05,0.0093777
300,1,3.411,0.24919,2.5273E-05,0.0094058
301,1,3.3996,0.24918,2.5348E-05,0.0094338
302,1,3.3882,0.24917,2.5423E-05,0.0094617
303,1,3.377,0.24916,2.5497E-05,0.0094897
304,1,3.3658,0.24915,2.5572E-05,0.0095175
305,1,3.3547,0.24914,2.5647E-05,0.0095454
306,1,3.3436,0.24913,2.5721E-05,0.0095732
307,1,3.3327,0.24912,2.5796E-05,0.009601
308,1,3.3218,0.24911,2.587E-05,0.0096287
309,1,3.311,0.2491,2.5944E-05,0.0096564
310,1,3.3002,0.24909,2.6018E-05,0.009684
311,1,3.2896,0.24908,2.6092E-05,0.0097116
312,1,3.2789,0.24908,2.6166E-05,0.0097392
313,1,3.2684,0.24907,2.624E-05,0.0097667
314,1,3.2579,0.24906,2.6314E-05,0.0097942
315,1,3.2475,0.24905,2.6387E-05,0.0098217
316,1,3.2372,0.24904,2.6461E-05,0.0098491
317,1,3.2269,0.24903,2.6534E-05,0.0098765
318,1,3.2167,0.24903,2.6608E-05,0.0099038
319,1,3.2066,0.24902,2.6681E-05,0.0099311
320,1,3.1965,0.24901,2.6754E-05,0.0099584
321,1,3.1865,0.249,2.6827E-05,0.0099856
322,1,3.1765,0.249,2.69E-05,0.010013
323,1,3.1666,0.24899,2.6973E-05,0.01004
324,1,3.1568,0.24898,2.7046E-05,0.010067
325,1,3.147,0.24897,2.7118E-05,0.010094
326,1,3.1373,0.24897,2.7191E-05,0.010121
327,1,3.1277,0.24896,2.7263E-05,0.010148
328,1,3.1181,0.24895,2.7336E-05,0.010175
329,1,3.1086,0.24895,2.7408E-05,0.010202
330,1,3.0991,0.24894,2.748E-05,0.010229
331,1,3.0897,0.24893,2.7552E-05,0.010256
332,1,3.0803,0.24893,2.7624E-05,0.010283
333,1,3.071,0.24892,2.7696E-05,0.01031
334,1,3.0618,0.24891,2.7768E-05,0.010336
335,1,3.0526,0.24891,2.7839E-05,0.010363
336,1,3.0435,0.2489,2.7911E-05,0.01039
337,1,3.0344,0.24889,2.7983E-05,0.010416
338,1,3.0254,0.24889,2.8054E-05,0.010443
339,1,3.0164,0.24888,2.8125E-05,0.01047
340,1,3.0075,0.24887,2.8197E-05,0.010496
341,1,2.9986,0.24887,2.8268E-05,0.010523
342,1,2.9898,0.24886,2.8339E-05,0.010549
343,1,2.9811,0.24886,2.841E-05,0.010576
344,1,2.9724,0.24885,2.8481E-05,0.010602
345,1,2.9637,0.24884,2.8552E-05,0.010628
346,1,2.9551,0.24884,2.8622E-05,0.010655
347,1,2.9466,0.24883,2.8693E-05,0.010681
348,1,2.9381,0.24883,2.8763E-05,0.010707
349,1,2.9296,0.24882,2.8834E-05,0.010734
350,1,2.9212,0.24882,2.8904E-05,0.01076
351,1,2.9128,0.24881,2.8974E-05,0.010786
352,1,2.9045,0.24881,2.9045E-05,0.010812
353,1,2.8963,0.2488,2.9115E-05,0.010838
354,1,2.888,0.2488,2.9185E-05,0.010864
